# Blocked or Restricted Developer & News Platforms in Mainland China (Domains and URLs)

| Platform / Website | Domain | Example URL | Category | Typical Access Status in Mainland China |
| --- | --- | --- | --- | --- |
| GitHub | github.com | https://github.com | Developer hosting | Intermittently restricted/slow; sometimes blocked |
| GitHub Gist | gist.github.com | https://gist.github.com | Code snippets | Often affected together with GitHub |
| GitLab (cloud) | gitlab.com | https://gitlab.com | DevOps / Git hosting | Frequently restricted |
| Bitbucket | bitbucket.org | https://bitbucket.org | Git hosting | Often restricted |
| Stack Overflow | stackoverflow.com | https://stackoverflow.com | Q&A | Reported as intermittently blocked |
| Medium | medium.com | https://medium.com | Blogging | Often blocked |
| Dev.to | dev.to | https://dev.to | Developer community | Often blocked |
| Google Play | play.google.com | https://play.google.com | App store | Blocked |
| Android Developers | developer.android.com | https://developer.android.com | Docs | Often inaccessible (Google domain dependency) |
| Reuters | reuters.com | https://www.reuters.com | News | Frequently blocked |
| The New York Times | nytimes.com | https://www.nytimes.com | News | Blocked |
| The Wall Street Journal | wsj.com | https://www.wsj.com | News | Often restricted |
| Bloomberg | bloomberg.com | https://www.bloomberg.com | News / Finance | Often restricted |
