# General Schedule ( US civil service pay scale )
> Salary calculation

| GS Grade | Step 1 | Step 2 | Step 3 | Step 4 | Step 5 | Step 6 | Step 7 | Step 8 | Step 9 | Step 10 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | $18,343 | $18,956 | $19,566 | $20,173 | $20,783 | $21,140 | $21,743 | $22,351 | $22,375 | $22,941 |
| 2 | $20,623 | $21,114 | $21,797 | $22,375 | $22,629 | $23,295 | $23,961 | $24,627 | $25,293 | $25,959 |
| 3 | $22,502 | $23,252 | $24,002 | $24,752 | $25,502 | $26,252 | $27,002 | $27,752 | $28,502 | $29,252 |
| 4 | $25,261 | $26,103 | $26,945 | $27,787 | $28,629 | $29,471 | $30,313 | $31,155 | $31,997 | $32,839 |
| 5 | $28,262 | $29,204 | $30,146 | $31,088 | $32,030 | $32,972 | $33,914 | $34,856 | $35,798 | $36,740 |
| 6 | $31,504 | $32,554 | $33,604 | $34,654 | $35,704 | $36,754 | $37,804 | $38,854 | $39,904 | $40,954 |
| 7 | $35,009 | $36,176 | $37,343 | $38,510 | $39,677 | $40,844 | $42,011 | $43,178 | $44,345 | $45,512 |
| 8 | $38,771 | $40,063 | $41,355 | $42,647 | $43,939 | $45,231 | $46,523 | $47,815 | $49,107 | $50,399 |
| 9 | $42,823 | $44,250 | $45,677 | $47,104 | $48,531 | $49,958 | $51,385 | $52,812 | $54,239 | $55,666 |
| 10 | $47,158 | $48,730 | $50,302 | $51,874 | $53,446 | $55,018 | $56,590 | $58,162 | $59,734 | $61,306 |
| 11 | $51,811 | $53,538 | $55,265 | $56,992 | $58,719 | $60,446 | $62,173 | $63,900 | $65,627 | $67,354 |
| 12 | $62,101 | $64,171 | $66,241 | $68,311 | $70,381 | $72,451 | $74,521 | $76,591 | $78,661 | $80,731 |
| 13 | $73,846 | $76,308 | $78,770 | $81,232 | $83,694 | $86,156 | $88,618 | $91,080 | $93,542 | $96,004 |
| 14 | $87,263 | $90,172 | $93,081 | $95,990 | $98,899 | $101,808 | $104,717 | $107,626 | $110,535 | $113,444 |
| 15 | $102,646 | $106,068 | $109,490 | $112,912 | $116,334 | $119,756 | $123,178 | $126,600 | $130,022 | $133,444 |
