# Best-selling video games (selected titles, lifetime copies sold)

| Rank | Game title | Primary platform / bundle association | Publisher | Copies sold (million) | Sales type |
|---:|---|---|---|---:|---|
| 1 | Minecraft | Multi-platform | Mojang / Microsoft | 300.0 | Total across platforms |
| 2 | Grand Theft Auto V | Multi-platform | Rockstar Games | 200.0 | Total across platforms |
| 3 | Tetris (EA/console & handheld versions) | Multi-platform | Various | 100.0 | Combined reported versions |
| 4 | Wii Sports | Wii (pack-in) | Nintendo | 82.9 | Bundled with console in many regions |
| 5 | PlayerUnknown’s Battlegrounds (PUBG) | PC & Console | PUBG Studios | 75.0 | Includes PC + console totals |
| 6 | Mario Kart 8 / Deluxe | Wii U / Switch | Nintendo | 70.0 | Combined across editions |
| 7 | Red Dead Redemption 2 | Multi-platform | Rockstar Games | 61.0 | Total across platforms |
| 8 | Terraria | Multi-platform | Re-Logic | 58.0 | Total across platforms |
| 9 | The Witcher 3: Wild Hunt | Multi-platform | CD Projekt | 50.0 | Total across platforms |
| 10 | Animal Crossing: New Horizons | Switch | Nintendo | 45.0 | Single-platform total |
