# Selected Inorganic Ligands by Charge Class (Neutral, Anionic, Dianionic)  Formula and Charge Listed Per Ligand

| Charge class | Ligand (name) | Ligand formula | Typical coordination note | Explicit ligand charge |
|---|---|---|---|---|
| Neutral | Water (aqua) | H2O | O-donor | neutral |
| Neutral | Carbon monoxide (carbonyl) | CO | C-donor (π-acceptor) | neutral |
| Neutral | Nitric oxide (nitrosyl) | NO | often treated as linear NO+ in complexes, but free ligand is neutral | neutral |
| Neutral | Dinitrogen (dinitrogen) | N2 | N-donor (rare) | neutral |
| Anionic (1−) | Fluoride (fluoro) | F− | hard base, F-donor | − |
| Anionic (1−) | Hydride (hydrido) | H− | strong σ-donor | − |
| Anionic (1−) | Hydroxide (hydroxo) | OH− | O-donor | − |
| Anionic (1−) | Peroxide (peroxo, side-on or end-on) | O2^2− | O-donor; can bridge metals | 2− |
| Dianionic (2−) | Carbonate (carbonato) | CO3^2− | O-donor; often chelating/bridging | 2− |
| Dianionic (2−) | Sulfide (sulfido) | S2− | S-donor; often bridging | 2− |
| Dianionic (2−) | Oxalate (oxalato) | C2O4^2− | bidentate O,O-chelator | 2− |
