# New York ZIP Codes by Borough County (Grouped Index)

| Borough/County Group | ZIP Code | Type | Common Cities |
| --- | --- | --- | --- |
| New York County (Manhattan) | 10001 | Standard | New York |
| New York County (Manhattan) | 10002 | Standard | New York |
| Kings County (Brooklyn) | 11201 | Standard | Brooklyn |
| Kings County (Brooklyn) | 11205 | Standard | Brooklyn |
| Queens County (Queens) | 11354 | Standard | Flushing |
| Queens County (Queens) | 11101 | Standard | Long Island City |
| Bronx County (Bronx) | 10451 | Standard | Bronx |
| Bronx County (Bronx) | 10453 | Standard | Bronx |
| Richmond County (Staten Island) | 10301 | Standard | Staten Island |
| Richmond County (Staten Island) | 10314 | Standard | Staten Island |
| Nassau County | 11501 | Standard | Mineola |
| Suffolk County | 11787 | Standard | Smithtown |
