# US ZIP Code Prefixes by State (First 3 Digits)

| State | 3-Digit ZIP Prefix | Primary Metro Area | Coverage Description |
|---|---|---|---|
| MA | 010 | Springfield area | Pioneer Valley coverage |
| MA | 011 | Springfield | Urban core |
| MD | 210 | Baltimore suburbs | Anne Arundel/Howard region |
| MN | 559 | SE Minnesota | Rochester/Austin vicinity |
| CO | 800 | Denver metro | Front Range suburbs |
| FL | 328 | Orlando | Orange County core |
| ME | 040 | Southern Maine | York/Cumberland areas |
| NM | 871 | Albuquerque | Central metro coverage |
| AZ | 850 | Phoenix | Maricopa core |
| AZ | 857 | Tucson | Pima core |
