# Register of Byzantine Augustae and Empresses (5th–6th centuries)

| Name | Greek/Latin name (if known) | Status | Emperor associated | How identified (relationship) | Date named Augusta / elevated | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Aelia Eudocia | Aelia Eudocia | Empress-consort (Augusta) | Theodosius II | Wife of the emperor | 423 | Prominent patron of learning and building activity in Constantinople and Jerusalem |
| Aelia Pulcheria | Aelia Pulcheria | Augusta (imperial princess / regent) | Theodosius II / Marcian | Sister of Theodosius II; later wife of Marcian | 414 | Exercised strong political authority; central court figure |
| Aelia Eudoxia | Aelia Eudoxia | Empress-consort (Augusta) | Arcadius | Wife of the emperor | 400 | Influential at court; associated with religious controversies |
| Aelia Verina | Aelia Verina | Empress-consort (Augusta) | Leo I | Wife of the emperor | 457 | Key dynastic figure in late 5th-century succession politics |
| Aelia Ariadne | Aelia Ariadne | Empress-consort (Augusta) | Zeno / Anastasius I | Wife of Zeno; later wife of Anastasius I | 474 | Bridged two reigns; important for dynastic continuity |
| Zenonis | Aelia Zenonis | Empress-consort (Augusta) | Basiliscus | Wife of Basiliscus | 475 | Linked to the brief reign of Basiliscus |
| Euphemia | Euphemia | Empress-consort (Augusta) | Justin I | Wife of Justin I | c. 518 | Formerly named Lupicina; elevated upon Justin’s accession |
| Theodora | Theodora | Empress-consort (Augusta) | Justinian I | Wife of Justinian I | 527 | Powerful co-ruler figure; associated with reforms and court politics |
| Sophia | Sophia | Empress-consort (Augusta) | Justin II | Wife of Justin II | 565 | Noted for active role in government during Justin II’s reign |
