# Worldwide Box Office Gross by Film and Release Window (Selected 2010s Titles)

| Film | Release window (opening weekend) | Release year | Worldwide gross (USD) | Domestic gross (USD) | Source note |
| --- | --- | --- | ---:| ---:| --- |
| Inception | Jul 16–18, 2010 | 2010 | 836,800,000 | 292,600,000 | Rounded to nearest $0.1M |
| The Avengers | May 4–6, 2012 | 2012 | 1,518,800,000 | 623,400,000 | Includes 3-day opening window |
| Frozen | Nov 22–24, 2013 | 2013 | 1,280,800,000 | 400,700,000 | Rounded to nearest $0.1M |
| Jurassic World | Jun 12–14, 2015 | 2015 | 1,671,700,000 | 652,300,000 | Weekend dates shown for context |
| Rogue One: A Star Wars Story | Dec 16–18, 2016 | 2016 | 1,056,100,000 | 532,200,000 | Opening weekend window |
| Black Panther | Feb 16–19, 2018 | 2018 | 1,346,900,000 | 700,400,000 | Includes Presidents' Day 4-day window |
| Avengers: Endgame | Apr 26–28, 2019 | 2019 | 2,797,500,000 | 858,400,000 | 3-day opening window |
| Joker | Oct 4–6, 2019 | 2019 | 1,074,300,000 | 335,500,000 | 3-day opening window |
| Parasite | Oct 11–13, 2019 | 2019 | 263,100,000 | 53,400,000 | Limited-to-wide rollout; window is first wide weekend |
| Dune | Oct 22–24, 2021 | 2021 | 402,000,000 | 108,300,000 | Hybrid release context not shown in columns |
