# Stock Exchange Mapping by Economy (with Market Rank and Market Cap)

| Economy | Stock Exchange | Global Rank (by Market Cap) | Approx. Market Cap (USD) |
| --- | --- | --- | --- |
| United States | New York Stock Exchange (NYSE) | 1 | ~25T |
| United States | NASDAQ | 2 | ~22T |
| China | Shanghai Stock Exchange (SSE) | 3 | ~7T |
| Japan | Tokyo Stock Exchange (TSE) | 4 | ~6T |
| United Kingdom | London Stock Exchange (LSE) | 5 | ~4T |
| Hong Kong (China) | Hong Kong Stock Exchange (HKEX) | 6 | ~4T |
| India | National Stock Exchange of India (NSE) | 7 | ~3.5T |
| Canada | Toronto Stock Exchange (TSX) | 8 | ~3T |
| Germany | Frankfurt Stock Exchange (FWB) | 9 | ~2T |
