# Ricky Watters
> Professional career

| Year | Team | Games | Carries | Yards | Yards per Carry | Longest Carry | Touchdowns | First Downs | Fumbles | Fumbles Lost |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1992 | SF | 14 | 206 | 1,013 | 4.9 | 43 | 9 | 54 | 2 | 1 |
| 1993 | SF | 13 | 208 | 950 | 4.6 | 39 | 10 | 54 | 5 | 2 |
| 1994 | SF | 16 | 239 | 877 | 3.7 | 23 | 6 | 47 | 8 | 3 |
| 1995 | PHI | 16 | 337 | 1,273 | 3.8 | 57 | 11 | 76 | 4 | 1 |
| 1996 | PHI | 16 | 353 | 1,411 | 4.0 | 56 | 13 | 73 | 5 | 5 |
| 1997 | PHI | 16 | 285 | 1,110 | 3.9 | 28 | 7 | 55 | 3 | 2 |
| 1998 | SEA | 16 | 319 | 1,239 | 3.9 | 39 | 9 | 73 | 4 | 2 |
| 1999 | SEA | 16 | 325 | 1,210 | 3.7 | 45 | 5 | 49 | 3 | 3 |
| 2000 | SEA | 16 | 278 | 1,242 | 4.5 | 55 | 7 | 60 | 5 | 2 |
| 2001 | SEA | 5 | 72 | 318 | 4.4 | 40 | 1 | 14 | 1 | 0 |
| Career |  | 144 | 2,622 | 10,643 | 4.1 | 57 | 78 | 555 | 40 | 21 |
