# Regional Craft Beer ABV Comparison (Fixed Percent per Beer)

| Brewery | Beer Name | Style | ABV (%) | Package |
| --- | --- | --- | --- | --- |
| Redwood Ridge Brewing | Canyon Pale Ale | American Pale Ale | 5.6% | 12 oz can |
| Redwood Ridge Brewing | Night Harbor Porter | Porter | 6.2% | 12 oz bottle |
| Lakeview Ales | Shoreline Pilsner | Pilsner | 4.8% | 16 oz can |
| Lakeview Ales | Copper Trail Amber | Amber Ale | 5.4% | 12 oz bottle |
| Northgate Brewery | Hazy Orchard IPA | New England IPA | 6.7% | 16 oz can |
| Northgate Brewery | Double Gate DIPA | Double IPA | 8.2% | 16 oz can |
| Stonebridge Brewing | Belgian Moon Tripel | Tripel | 9.1% | 12 oz bottle |
| Stonebridge Brewing | Dry Stout Classic | Dry Stout | 4.3% | 14.9 oz can |
| Meadowline Brewing | Summer Wheat | Wheat Beer | 5.0% | 12 oz can |
| Meadowline Brewing | Cranberry Saison | Saison | 6.5% | 750 ml bottle |
