# Westfield Primary 2016–2017 Calendar (Events, Closures, and Half-Term Week Commencements)

| Type | Name | Date | Applies To |
| --- | --- | --- | --- |
| Term Start | Autumn Term begins | Mon 05 Sep 2016 | All pupils |
| Closure | INSET Day | Fri 21 Oct 2016 | Staff only |
| Half-Term | Autumn half-term (week commencing) | Mon 24 Oct 2016 | School closed |
| Term Start | Autumn Term resumes | Mon 31 Oct 2016 | All pupils |
| Closure | Christmas closure (last day) | Tue 20 Dec 2016 | Early finish |
| Term Start | Spring Term begins | Thu 05 Jan 2017 | All pupils |
| Half-Term | Spring half-term (week commencing) | Mon 13 Feb 2017 | School closed |
| Term Start | Spring Term resumes | Mon 20 Feb 2017 | All pupils |
| Closure | Easter closure (last day) | Fri 31 Mar 2017 | End of day |
| Term Start | Summer Term begins | Tue 18 Apr 2017 | All pupils |
| Half-Term | Summer half-term (week commencing) | Mon 29 May 2017 | School closed |
| Closure | Summer closure (last day) | Fri 21 Jul 2017 | End of year |
