# Super Smash Bros. — Amiibo Product Lines and Compatibility by Fighter

| Fighter | Amiibo series | Figure wave | Reprint status | Game compatibility note |
|---|---|---:|---|---|
| Mario | Super Smash Bros. | 1 | Regular | Trains as FP in Ultimate |
| Marth | Super Smash Bros. | 1 | Limited | Works in Smash 4 and Ultimate |
| Mega Man | Super Smash Bros. | 2 | Regular | Compatible across Wii U / 3DS / Switch |
| Cloud | Super Smash Bros. | 5 | Limited | Two variants (P1/P2) in some regions |
| Ryu | Super Smash Bros. | 6 | Regular | Stores a custom moveset in supported titles |
| Ness | Super Smash Bros. | 4 | Regular | Can be used for AI training |
| Meta Knight | Super Smash Bros. | 3 | Regular | Reads/writes data in Ultimate |
| Mewtwo | Super Smash Bros. | 4 | Regular | Supports FP leveling |
| Sheik | Super Smash Bros. | 2 | Limited | Works with Smash series functionality |
| Zero Suit Samus | Super Smash Bros. | 2 | Regular | Compatible in multiple Smash games |
