# Confederate alignment by U.S. state (1861–1865)

| U.S. state | Alignment during the Civil War | Notes |
| --- | --- | --- |
| South Carolina | Confederacy | First to secede |
| Mississippi | Confederacy |  |
| Florida | Confederacy |  |
| Alabama | Confederacy |  |
| Georgia | Confederacy |  |
| Louisiana | Confederacy |  |
| Texas | Confederacy |  |
| Virginia | Confederacy | Joined after Fort Sumter |
| Arkansas | Confederacy |  |
| Tennessee | Confederacy |  |
| North Carolina | Confederacy |  |
| New York | Union |  |
| Pennsylvania | Union |  |
