# Westshire District Schools 2024–2025  Term and Holiday Calendar (Start Dates Only)

| Period | First Day | Notes |
| --- | --- | --- |
| Autumn Term (Part 1) | 02 Sep 2024 | Term begins for students |
| Autumn Half-Term Break | 21 Oct 2024 | One-week half-term |
| Autumn Term (Part 2) | 28 Oct 2024 | Classes resume |
| Christmas Holiday | 20 Dec 2024 | School closes after final day |
| Spring Term (Part 1) | 06 Jan 2025 | First day back |
| Spring Half-Term Break | 17 Feb 2025 | One-week half-term |
| Spring Term (Part 2) | 24 Feb 2025 | Classes resume |
| Easter Holiday | 04 Apr 2025 | School closes |
| Summer Term (Part 1) | 22 Apr 2025 | Term begins |
| Summer Half-Term Break | 26 May 2025 | One-week half-term |
| Summer Term (Part 2) | 02 Jun 2025 | Classes resume |
| Summer Holiday | 18 Jul 2025 | Break begins |
| Staff Training Day | 01 Sep 2024 | Inset day (no students) |
