# Queens who returned after an original season  mapping of repeat appearances across the RuPaul's Drag Race franchise

| Drag Name | Original Season | Returned Season/Series | Years (approx.) | Role on Return | Notes |
| --- | --- | --- | --- | --- | --- |
| Manila Luzon | Season 3 | All Stars 1; All Stars 4 | 2012; 2018 | Competitor | Multiple All Stars runs |
| Alexis Mateo | Season 3 | All Stars 1; All Stars 5 | 2012; 2020 | Competitor | Returned twice |
| Yara Sofia | Season 3 | All Stars 1; All Stars 6 | 2012; 2021 | Competitor | Returned across two eras |
| Ginger Minj | Season 7 | All Stars 2; All Stars 6 | 2016; 2021 | Competitor | Repeat All Stars contestant |
| Aja | Season 9 | All Stars 3 | 2018 | Competitor | Came back quickly after original season |
| Monét X Change | Season 10 | All Stars 4; All Stars 7 | 2018; 2022 | Competitor | Later returned again |
| Shea Couleé | Season 9 | All Stars 5; All Stars 7 | 2020; 2022 | Competitor | Multiple returns |
| Ra'Jah O'Hara | Season 11 | All Stars 6; Canada vs The World 1 | 2021; 2022 | Competitor | Returned on vs-the-World format |
| Silky Nutmeg Ganache | Season 11 | All Stars 6 | 2021 | Competitor | Franchise return appearance |
| Jimbo | Canada Season 1 | UK vs The World 1; All Stars 8 | 2022; 2023 | Competitor | Cross-series returner |
| Pangina Heals | Thailand Season 1 | UK vs The World 1 | 2022 | Competitor | Returned outside original country series |
