# UFC Champions by Division — Title Reign Durations (Selected Reigns)

| Weight class | Champion | Reign # | Reign start (date) | Reign end (date) | Reign length (days) | Successful defenses |
|---|---|---:|---|---|---:|---:|
| Flyweight | Demetrious Johnson | 1 | 2012-09-22 | 2018-08-04 | 2,143 | 11 |
| Bantamweight | Dominick Cruz | 2 | 2016-01-17 | 2016-12-30 | 348 | 1 |
| Featherweight | José Aldo | 1 | 2010-04-24 | 2015-12-12 | 2,058 | 7 |
| Featherweight | Conor McGregor | 1 | 2015-12-12 | 2016-11-12 | 336 | 0 |
| Lightweight | Rafael dos Anjos | 1 | 2015-03-14 | 2016-07-07 | 481 | 1 |
| Welterweight | Robbie Lawler | 1 | 2014-12-06 | 2016-07-30 | 602 | 2 |
| Middleweight | Michael Bisping | 1 | 2016-06-04 | 2017-11-04 | 518 | 1 |
| Light Heavyweight | Jon Jones | 2 | 2011-03-19 | 2015-04-28 | 1,501 | 8 |
| Heavyweight | Cain Velasquez | 2 | 2012-12-29 | 2015-06-13 | 896 | 2 |
