# Alloy Steel (Spring-Capable) — Element-by-Element Limits by Grade

| Grade | C max (%) | Mn (%) | Si (%) | P max (%) | S max (%) | Cr (%) | Ni (%) | Mo (%) | Typical Use Note |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | --- |
| AISI 1074 | 0.79 | 0.60–0.90 | 0.10–0.35 | 0.040 | 0.050 | ≤0.25 | ≤0.25 | — | Flat springs, clips |
| AISI 1095 | 1.03 | 0.30–0.50 | 0.10–0.35 | 0.040 | 0.050 | ≤0.25 | ≤0.25 | — | High strength strip springs |
| AISI 5160 | 0.64 | 0.75–1.00 | 0.15–0.35 | 0.035 | 0.040 | 0.70–0.90 | ≤0.35 | — | Leaf/automotive springs |
| AISI 6150 | 0.53 | 0.70–0.90 | 0.15–0.35 | 0.035 | 0.040 | 0.80–1.10 | ≤0.35 | 0.15–0.25 | Heavy-duty springs |
| AISI 9255 | 0.60 | 0.75–1.00 | 1.20–1.60 | 0.035 | 0.040 | 0.60–0.80 | ≤0.35 | — | Cr-Si spring steel |
| ASTM A313 Type 302 | 0.15 | ≤2.00 | ≤1.00 | 0.045 | 0.030 | 17.0–19.0 | 8.0–10.0 | — | Stainless spring wire |
| ASTM A313 Type 17-7PH | 0.09 | ≤1.00 | ≤1.00 | 0.040 | 0.030 | 16.0–18.0 | 6.5–7.8 | 0.75 | PH stainless springs |
| EN 1.4310 (X10CrNi18-8) | 0.12 | ≤2.00 | ≤1.00 | 0.045 | 0.015 | 17.0–19.0 | 6.0–9.5 | — | Metric 302-like |
| JIS SUP10 | 0.56 | 0.65–0.95 | 0.15–0.35 | 0.035 | 0.035 | 0.80–1.10 | ≤0.35 | 0.15–0.25 | Japanese spring steel |
| DIN 50CrV4 | 0.52 | 0.70–1.10 | 0.15–0.40 | 0.025 | 0.035 | 0.90–1.20 | ≤0.40 | — | Common EU spring steel |
