# Homologous series
> Example : straight - chained alkanes

| Homologous series | General formula | Repeating unit | Functional group(s) |
| --- | --- | --- | --- |
| Straight-chain alkanes | C n H 2 n + 2 ( n ≥ 1) | −CH 2 − | H 3 C− ... −CH 3 |
| Straight-chain perfluoroalkanes | C n H 2 n + 2 ( n ≥ 1) | −CF 2 − | F 3 C− ... −CF 3 |
| Straight-chain alkyl | C n H 2 n + 1 ( n ≥ 1) | −CH 2 − | H 3 C− ... −CH 2 − |
| Straight-chain 1- alkenes | C n H 2 n ( n ≥ 2) | −CH 2 − | H 2 C= C− ... −CH 3 |
| Cycloalkanes | C n H 2 n ( n ≥ 2) | −CH 2 − | Singly-bonded ring |
| Straight-chain 1- alkynes | C n H 2 n − 2 ( n ≥ 2) | −CH 2 − | HC≡ C− ... −CH 3 |
| polyacetylenes | C 2 n H 2 n + 2 ( n ≥ 2) | −CH=CH− | H 3 C− ... −CH 3 |
| Straight-chain primary alcohols | C n H 2 n + 1 OH ( n ≥ 1) | −CH 2 − | H 3 C− ... −OH |
| Straight-chain primary mono carboxylic acids | C n H 2 n + 1 COOH ( n ≥ 0) | −CH 2 − | H 3 C− ... −COOH |
| Straight-chain azanes | N n H n + 2 ( n ≥ 1) | −NH− | H 2 N− ... −NH 2 |
