# Blue Sky Studios
> Filmography

| # | Title | Release date | Budget [11] | Gross [11] | RT | MC [12] |
| --- | --- | --- | --- | --- | --- | --- |
| 1 | Ice Age | 000000002002-03-15-0000 March 15, 2002 | $59 million | $383 million | 77% | 60 |
| 2 | Robots | 000000002005-03-11-0000 March 11, 2005 | $75 million | $260 million | 64% | 64 |
| 3 | Ice Age: The Meltdown | 000000002006-03-31-0000 March 31, 2006 | $80 million | $660 million | 57% | 58 |
| 4 | Dr. Seuss' Horton Hears a Who! | 000000002008-03-14-0000 March 14, 2008 | $85 million | $297 million | 79% | 71 |
| 5 | Ice Age: Dawn of the Dinosaurs | 000000002009-07-01-0000 July 1, 2009 | $90 million | $886 million | 45% | 50 |
| 6 | Rio | 000000002011-04-15-0000 April 15, 2011 | $90 million | $484 million | 72% | 63 |
| 7 | Ice Age: Continental Drift | 000000002012-07-13-0000 July 13, 2012 | $95 million | $877 million | 37% | 49 |
| 8 | Epic | 000000002013-05-24-0000 May 24, 2013 | $93 million | $268 million | 64% | 52 |
| 9 | Rio 2 | 000000002014-04-11-0000 April 11, 2014 | $103 million | $500 million | 46% | 49 |
| 10 | The Peanuts Movie | 000000002015-11-06-0000 November 6, 2015 | $99 million | $246 million | 87% | 67 |
| 11 | Ice Age: Collision Course | 000000002016-07-22-0000 July 22, 2016 | $105 million | $403 million | 13% | 34 |
