# Country Directory of Exchanges (Including Commodity and Futures Markets)

| Country/Economy | Exchange | Exchange Type | Key Products |
| --- | --- | --- | --- |
| United States | CME Group | Derivatives/Commodities | Futures, options |
| United States | New York Stock Exchange (NYSE) | Stock | Equities, ETFs |
| United Kingdom | London Metal Exchange (LME) | Commodities | Metals |
| United Kingdom | London Stock Exchange (LSE) | Stock | Equities |
| Japan | Tokyo Stock Exchange (TSE) | Stock | Equities |
| Japan | Osaka Exchange (OSE) | Derivatives | Index futures |
| India | Multi Commodity Exchange (MCX) | Commodities | Energy, metals |
| India | National Stock Exchange of India (NSE) | Stock | Equities |
| South Africa | Johannesburg Stock Exchange (JSE) | Stock | Equities |
| South Africa | SAFEX (derivatives market) | Derivatives/Commodities | Agricultural, financial futures |
