# List of The Many Loves of Dobie Gillis episodes
> Series overview

| No. in series | No. in season | Title | Directed by | Written by | Original airdate | Production number |
| --- | --- | --- | --- | --- | --- | --- |
| 1 | 1 | "Caper at The Bijou" | Rod Amateau | Max Shulman | September 29, 1959 ( 1959-09-29 ) | 3301/3401 |
| 2 | 2 | "The Best Dressed Man" | Rod Amateau | Max Shulman | October 6, 1959 ( 1959-10-06 ) | 3403 |
| 3 | 3 | "Love Is a Science" | Rod Amateau | Max Shulman | October 13, 1959 ( 1959-10-13 ) | 3406 |
| 4 | 4 | "The Right Triangle" | Rod Amateau | Ben Starr | October 20, 1959 ( 1959-10-20 ) | 3415 |
| 5 | 5 | "Maynard's Farewell to the Troops" | Rod Amateau | Max Shulman & Rod Amateau | November 3, 1959 ( 1959-11-03 ) | 3405 |
| 6 | 6 | "The Sweet Singer of Central High" | Rod Amateau | Charles R. Marion & Ray Allen | November 10, 1959 ( 1959-11-10 ) | 3408 |
| 7 | 7 | "Greater Love Hath No Man" | Rod Amateau | Joel Kane & Jack Lloyd | November 17, 1959 ( 1959-11-17 ) | 3411 |
| 8 | 8 | "The Old Goat" | Rod Amateau | Fred S. Fox & Izzy Elinson | November 24, 1959 ( 1959-11-24 ) | 3414 |
| 9 | 9 | "Dobie Gillis - Boy Actor" | Ralph Francis Murphy | Dean Riesner | December 1, 1959 ( 1959-12-01 ) | 3409 |
| 10 | 10 | "It Takes Two" | Rod Amateau | Max Shulman | December 8, 1959 ( 1959-12-08 ) | 3402 |
| 11 | 11 | "Dobie's Birthday Party" | Rod Amateau | Ed James | December 15, 1959 ( 1959-12-15 ) | 3410 |
| 12 | 12 | "Deck The Halls" | Rod Amateau | Ray Allen | December 22, 1959 ( 1959-12-22 ) | 3416 |
| 13 | 13 | "Couchville, U.S.A." | Rod Amateau | Irving Brecher | December 29, 1959 ( 1959-12-29 ) | 3407 |
| 14 | 14 | "The Gaucho" | Rod Amateau | Fred S. Fox & Izzy Elinson | January 5, 1960 ( 1960-01-05 ) | 3413 |
| 15 | 15 | "The Smoke-Filled Room" | Rod Amateau | Ray Allen, Max Shulman & Bernie Gould | January 12, 1960 ( 1960-01-12 ) | 3420 |
| 16 | 16 | "The Fist Fighter" | Ralph Francis Murphy | John Kohn & Mel Diamond | January 19, 1960 ( 1960-01-19 ) | 3419 |
| 17 | 17 | "The Hunger Strike" | Rod Amateau | Ben Starr & Ray Allen | January 26, 1960 ( 1960-01-26 ) | 3423 |
| 18 | 18 | "The Flying Millicans" | Ralph Francis Murphy | Ray Allen | February 2, 1960 ( 1960-02-02 ) | 3417 |
| 19 | 19 | "Room at the Bottom" | Rod Amateau | Max Shulman | February 9, 1960 ( 1960-02-09 ) | 3422 |
| 20 | 20 | "The Power of Positive Thinking" | Rod Amateau | Louella MacFarland | February 16, 1960 ( 1960-02-16 ) | 3421 |
| 21 | 21 | "Dobie Spreads a Rumor" | Rod Amateau | George Beck & Max Shulman | February 23, 1960 ( 1960-02-23 ) | 3426 |
| 22 | 22 | "Love Is a Fallacy" | Rod Amateau | Max Shulman | March 1, 1960 ( 1960-03-01 ) | 3425 |
| 23 | 23 | "The Chicken From Outer Space" | Rod Amateau | Max Shulman | March 8, 1960 ( 1960-03-08 ) | 3428 |
| 24 | 24 | "Dobie's Navy Blues" | Rod Amateau | Terry Ryan , Robert Van Scoyk & Ray Allen | March 15, 1960 ( 1960-03-15 ) | 3429 |
| 25 | 25 | "Taken to the Cleaners" | Ralph Francis Murphy | Ray Allen & Max Shulman | March 29, 1960 ( 1960-03-29 ) | 3424 |
