# Lucknow Localities with Post Office Names (No PIN Codes Listed)

| Locality/Area | Associated Post Office | District | State |
| --- | --- | --- | --- |
| Alambagh | Alambagh S.O | Lucknow | Uttar Pradesh |
| Aishbagh | Aishbagh S.O | Lucknow | Uttar Pradesh |
| Gomti Nagar | Gomti Nagar S.O | Lucknow | Uttar Pradesh |
| Hazratganj | Lucknow G.P.O | Lucknow | Uttar Pradesh |
| Indira Nagar | Indira Nagar S.O | Lucknow | Uttar Pradesh |
| Mahanagar | Mahanagar S.O | Lucknow | Uttar Pradesh |
| Chowk | Chowk S.O | Lucknow | Uttar Pradesh |
| Charbagh | Charbagh R.S. S.O | Lucknow | Uttar Pradesh |
| Rajajipuram | Rajajipuram S.O | Lucknow | Uttar Pradesh |
