# Demographics of Ukraine
> Vital statistics

|  | Urban live births | Urban deaths | Urban natural change | Urban rude birth rate (per 1,000) | Urban rude death rate (per 1,000) | Urban natural change (per 1,000) | Rural live births | Rural deaths | Rural natural change | Rural crude birth rate (per 1,000) | Rural crude death rate (per 1,000) | Rural natural change (per 1,000) |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1990 | 442,869 | 357,114 | 85,755 | 12.7 | 10.2 | 2.5 | 214,333 | 272,488 | −58,155 | 12.7 | 16.1 | −3.4 |
| 1991 | 419,205 | 380,988 | 38,917 | 11.9 | 10.8 | 1.1 | 211,608 | 288,972 | −77,364 | 12.6 | 17.2 | −4.6 |
| 1992 | 387,696 | 401,849 | −14,153 | 11.0 | 11.4 | −0.4 | 209,089 | 295,261 | −86,172 | 12.5 | 17.6 | −5.1 |
| 1993 | 356,833 | 432,462 | −75,629 | 10.1 | 12.2 | −2.1 | 200,634 | 309,200 | −108,566 | 12.0 | 18.5 | −6.5 |
| 1994 | 328,522 | 450,823 | −122,301 | 9.3 | 12.8 | −3.5 | 193,023 | 313,846 | −120,823 | 11.6 | 18.8 | −7.2 |
| 1995 | 308,408 | 476,434 | −168,026 | 8.8 | 13.6 | −4.8 | 184,453 | 316,153 | −131,700 | 11.1 | 19.1 | −8.0 |
| 1996 | 291,121 | 460,805 | −169,684 | 8.4 | 13.3 | −4.9 | 176,090 | 315,912 | −139,822 | 10.7 | 19.2 | −8.5 |
| 1997 | 274,961 | 444,446 | −169,485 | 8.0 | 13.0 | −5.0 | 167,620 | 309,705 | −142,805 | 10.2 | 18.9 | −8.7 |
| 1998 | 258,724 | 425,521 | −166,797 | 7.6 | 12.6 | −5.0 | 160,514 | 294,433 | −133,919 | 9.9 | 18.1 | −8.2 |
| 1999 | 239,408 | 439,986 | −200,578 | 7.1 | 13.1 | −6.0 | 149,800 | 299,184 | −149,384 | 9.3 | 18.5 | −9.2 |
| 2000 | 238,014 | 457,069 | −219,055 | 7.2 | 13.8 | −6.6 | 147,112 | 301,013 | −153,901 | 9.2 | 18.8 | −9.6 |
| 2001 | 237,228 | 450,329 | −213,101 | 7.2 | 13.8 | −6.6 | 139,250 | 295,623 | −156,373 | 8.7 | 18.6 | −9.9 |
| 2002 | 248,877 | 454,406 | −205,529 | 7.7 | 14.0 | −6.3 | 141,811 | 300,505 | −158,694 | 9.0 | 19.1 | −10.1 |
| 2003 | 266,415 | 459,965 | −193,550 | 8.3 | 14.3 | −6.0 | 142,174 | 305,443 | −163,269 | 9.1 | 19.6 | −10.5 |
| 2004 | 284,361 | 460,492 | −176,131 | 8.9 | 14.4 | −5.5 | 142,898 | 300,769 | −157,871 | 9.3 | 19.6 | −10.3 |
| 2005 | 284,257 | 471,561 | −187,304 | 8.9 | 14.8 | −5.9 | 141,829 | 310,400 | −168,571 | 9.4 | 20.5 | −11.1 |
| 2006 | 306,635 | 461,774 | −155,139 | 9.6 | 14.5 | −4.9 | 153,733 | 296,318 | −142,585 | 10.3 | 19.8 | −9.5 |
| 2007 | 314,065 | 466,253 | −152,188 | 9.9 | 14.7 | −4.8 | 158,592 | 296,624 | −138,032 | 10.7 | 20.1 | −9.4 |
| 2008 | 340,594 | 462,897 | −122,303 | 10.8 | 14.6 | −3.8 | 169,995 | 291,563 | −121,568 | 11.6 | 19.9 | −8.3 |
| 2009 | 339,497 | 432,294 | −92,797 | 10.8 | 13.7 | −2.9 | 173,028 | 274,445 | −101,417 | 11.9 | 18.9 | −7.0 |
| 2010 | 326,587 | 431,130 | −104,543 | 10.4 | 13.7 | −3.3 | 171,102 | 267,105 | −96,003 | 11.9 | 18.6 | −6.7 |
| 2011 | 328,934 | 411,025 | −82,091 | 10.5 | 13.1 | −2.3 | 173,661 | 253,563 | −79,902 | 12.1 | 17.7 | −5.6 |
| 2012 | 341,599 | 411,787 | −70,788 | 10.9 | 13.1 | −2.2 | 179,106 | 251,352 | −72,246 | 12.6 | 17.7 | −5.1 |
| 2013 | 330,284 | 412,552 | −82,268 | 10.5 | 13.1 | −2.6 | 173,372 | 249,816 | −76,444 | 12.3 | 17.7 | −5.4 |
| 2014 | 304,190 | 391,739 | −87,549 | 10.2 | 13.2 | −3.0 | 161,692 | 240,557 | −78,865 | 12.2 | 18.1 | −5.9 |
