# Global YouTube Channels Leaderboard (Most Subscribers, Snapshot)

| Rank | Channel | Subscribers (Millions) | Primary Category | Country/Region |
|---:|---|---:|---|---|
| 1 | T-Series | 270.4 | Music | India |
| 2 | MrBeast | 245.1 | Entertainment | United States |
| 3 | Cocomelon - Nursery Rhymes | 180.6 | Education | United States |
| 4 | SET India | 176.2 | Entertainment | India |
| 5 | Kids Diana Show | 124.7 | Kids | United States |
| 6 | Like Nastya | 120.3 | Kids | United States |
| 7 | Vlad and Niki | 117.9 | Kids | United States |
| 8 | Zee Music Company | 110.8 | Music | India |
| 9 | WWE | 103.6 | Sports | United States |
| 10 | BLACKPINK | 93.2 | Music | South Korea |
| 11 | Sony SAB | 92.4 | Entertainment | India |
| 12 | 5-Minute Crafts | 81.1 | How-to & Style | Cyprus |
