# Abilene , Texas
> Economy

| Rank | Employer | # of Employees | Industry |
| --- | --- | --- | --- |
| 1 | Dyess Air Force Base | 5406 | Government |
| 2 | Hendrick Health System | 2896 | Healthcare |
| 3 | Abilene ISD | 2450 | Education |
| 4 | Abilene State Supported Living Center | 1472 | Government |
| 5 | City of Abilene | 1200 | Government |
| 6 | Texas Department of Criminal Justice | 1190 | Government |
| 7 | Blue Cross Blue Shield of Texas Claims Center | 1050 | Call Center |
| 8 | Abilene Christian University | 850 | Education |
| 9 | Abilene Regional Medical Center | 760 | Healthcare |
| 10 | Taylor County | 550 | Government |
