# List of battles since 2001
> 21 st century

| Battle | Date | Description |
| --- | --- | --- |
| Battle of Ras Kamboni | 5–12 January | The Transitional Federal Government of Somalia, in coalition with Ethiopia and the US, defeats the Islamic Courts Union . |
| Battle of Najaf (2007) | 28–29 January | Iraqi and Coalition forces defeat the Soldiers of Heaven cult. |
| Operation Law and Order | 14 February – 24 November | US troops successfully battle Iraqi insurgents to restore law and order in Baghdad . |
| Battle of Mogadishu | 21 March – 26 April | Ethiopian, Somalian and Ugandan forces battle the Popular Resistance Movement indecisively. |
| Battle of Thoppigala | 25 April – 11 July 2007 | Sri Lankan Army victory |
| Operation Achilles | 6–30 May | Tactically successful Coalition operation in Afghanistan to clear the Helmand Province of Taliban terrorists. |
| Battle of Nahr el-Bared | 20 May – 7 September | Armed conflict after Fatah al-Islam , an Islamist militant organization, lays siege to the refugee camp of Nahr al-Bared for Palestinians in Lebanon . |
| Battle of Gaza (2007) | 7–15 June | Hamas defeats the Fatah, and takes over the Gaza Strip. |
| Battle of Chora | 15–19 June | Coalition forces capture Chora District in Oruzgan Province from the Taliban. |
| Raid on Anuradhapura Air Force Base | 22 October | Tamil Tigers victory |
| Battle of Musa Qala | 7–12 December | ISAF and Afghan forces capture Musa Qala District in Helmand Province from the Taliban. |
| Battle of Delft | 25 December | Disputed |
