# Connacht Nobility and Lineages (Gaelic patronymics without modern surname pairing)

| Person | Dynasty | Title | Dates | Father | Recorded Form |
|---|---|---|---|---|---|
| Fedlim Ó Conchobair | Uí Conchobair | King of Connacht | 1310–1316 | Áed Ó Conchobair | Ó Conchobair |
| Toirdhealbhach Ó Conchobair | Uí Conchobair | King of Connacht | 1106–1156 | Ruaidrí na Saide Buide | Ó Conchobair |
| Art Uallach Ua Ruairc | Uí Ruairc | King of Breifne | 1030–1046 | Áed mac Fergal | Ua Ruairc |
| Tigernán Ua Ruairc | Uí Ruairc | Lord of Breifne | 1124–1172 | Áed Ua Ruairc | Ua Ruairc |
| Domnall mac Tadc | Síol Muireadaigh | Prince | fl. 12th c. | Tadc | mac Tadc |
| Cathal Crobdearg Ó Conchobair | Uí Conchobair | King of Connacht | 1189–1224 | Toirdhealbhach Mór | Ó Conchobair |
| Aedh mac Cathal | Uí Conchobair | King of Connacht | 1224–1228 | Cathal Crobdearg | mac Cathal |
| Ruaidrí mac Toirdhelbaig | Uí Conchobair | King of Connacht | 1156–1198 | Toirdhealbhach | mac Toirdhelbaig |
| Muirchertach Ua Briain | Uí Briain | King of Munster | 1086–1119 | Toirdhealbhach | Ua Briain |
