# Organic reaction
> Organic reactions by functional groups

| Functional group | Preparation | Reactions |
| --- | --- | --- |
| Acid anhydride | preparation | reactions |
| Acyl halides | preparation | reactions |
| Acyloins | preparation | reactions |
| Alcohols | preparation | reactions |
| Aldehydes | preparation | reactions |
| Alkanes | preparation | reactions |
| Alkenes | preparation | reactions |
| Alkyl halides | preparation | reactions |
| Alkyl nitrites | preparation | reactions |
| Alkynes | preparation | reactions |
| Amides | preparation | reactions |
| Amine oxide | preparation | reactions |
| Amines | preparation | reactions |
| Arene compounds | preparation | reactions |
| Azides | preparation | reactions |
| Aziridines | preparation | reactions |
| Carboxylic acids | preparation | reactions |
| Cyclopropanes | preparation | reactions |
| Diazo compounds | preparation | reactions |
| Diols | preparation | reactions |
| Esters | preparation | reactions |
| Ethers | preparation | reactions |
| Epoxide | preparation | reactions |
| Haloketones | preparation | reactions |
| Imines | preparation | reactions |
| Isocyanates | preparation | reactions |
| Ketones | preparation | reactions |
| Lactams | preparation | reactions |
| Nitriles | preparation | reactions |
| Nitro compounds | preparation | reactions |
| Phenols | preparation | reactions |
| Thiols | preparation | reactions |
