# Felony Charges and Penalties by State (Selected Offenses and Statutory Maximums)

| State | Felony charge (example offense) | Felony classification / level | Potential imprisonment | Potential fine | Notes |
| --- | --- | --- | --- | --- | --- |
| California | Grand theft (high-value property) | Felony (wobbler in some cases) | 16 months–3 years (state prison) | Up to $10,000 | Degree/term varies by theft amount and prior record |
| Texas | Burglary of habitation | Felony (2nd degree typical) | 2–20 years | Up to $10,000 | Enhanced if intent/weapon/occupancy factors apply |
| Florida | Aggravated assault with a deadly weapon | 3rd-degree felony | Up to 5 years | Up to $5,000 | Higher degree if certain protected victims |
| New York | Robbery in the second degree | Class C felony | Up to 15 years | Fine possible (court-set) | Sentencing affected by violent felony status |
| Illinois | Residential burglary | Felony (Class 1) | 4–15 years | Up to $25,000 | Mandatory add-ons may apply for repeat offenses |
| Georgia | Possession of Schedule I/II (first offense) | Felony | 2–15 years | Fine possible (statute/court) | Example mirrors common GA ranges for drug felonies |
| Ohio | Felony assault | Felony (typically 2nd degree) | 2–8 years | Up to $15,000 | Some assaults elevate to 1st degree |
| Oregon | Robbery in the third degree | Class C felony | Up to 5 years | Up to $125,000 | Oregon felony classes often used for maximums |
| Virginia | Grand larceny (over threshold) | Felony | 1–20 years (or up to 12 months in jail at court discretion) | Up to $2,500 | Punishment can be prison or jail depending on sentencing |
| Washington | Unlawful possession of a firearm (certain prohibited persons) | Felony | Up to 10 years | Up to $20,000 | Classification depends on predicate disqualifier |
