# California ZIP Codes by Type (Standard vs PO Box vs Unique) — Selected Examples

| ZIP Code | ZIP Type | Primary Place (City) | County | Notes |
|---|---|---|---|---|
| 90001 | Standard | Los Angeles | Los Angeles County | General delivery area |
| 90007 | Standard | Los Angeles | Los Angeles County | Includes USC area |
| 90010 | Standard | Los Angeles | Los Angeles County | Koreatown vicinity |
| 90012 | Standard | Los Angeles | Los Angeles County | Downtown LA |
| 90017 | Standard | Los Angeles | Los Angeles County | Downtown/Westlake |
| 90021 | Standard | Los Angeles | Los Angeles County | Arts District area |
| 90024 | Standard | Los Angeles | Los Angeles County | Westwood area |
| 90026 | Standard | Los Angeles | Los Angeles County | Echo Park/Silver Lake |
| 90090 | Unique | Los Angeles | Los Angeles County | Organization-specific ZIP |
| 94102 | Standard | San Francisco | San Francisco County | Civic Center/Tenderloin |
| 94105 | Standard | San Francisco | San Francisco County | SoMa (financial district) |
| 94111 | Standard | San Francisco | San Francisco County | Embarcadero area |
| 94120 | PO Box | San Francisco | San Francisco County | PO Box–only ZIP |
| 95814 | Standard | Sacramento | Sacramento County | Downtown Sacramento |
| 95822 | Standard | Sacramento | Sacramento County | South Sacramento |
| 95894 | Unique | Sacramento | Sacramento County | Organization-specific ZIP |
