# Republican Party Committees — Chairs Across National Committees (RNC, NRSC, NRCC) by Cycle

| Cycle | RNC Chair | NRSC Chair | NRCC Chair | Notes |
|---|---|---|---|---|
| 2007–2008 | Mike Duncan | John Ensign | Tom Cole | Multiple committees compared |
| 2009–2010 | Michael Steele | John Cornyn | Pete Sessions | Multiple committees compared |
| 2011–2012 | Reince Priebus | John Cornyn | Pete Sessions | Multiple committees compared |
| 2013–2014 | Reince Priebus | Jerry Moran | Greg Walden | Multiple committees compared |
| 2015–2016 | Reince Priebus | Roger Wicker | Greg Walden | Multiple committees compared |
| 2017–2018 | Ronna McDaniel | Cory Gardner | Steve Stivers | Multiple committees compared |
| 2019–2020 | Ronna McDaniel | Todd Young | Tom Emmer | Multiple committees compared |
| 2021–2022 | Ronna McDaniel | Rick Scott | Tom Emmer | Multiple committees compared |
| 2023–2024 | Ronna McDaniel | Steve Daines | Richard Hudson | Multiple committees compared |
