# Anticoagulants — Drugs Grouped by Subclass with Mechanism and Lab Monitoring

| Drug class (overall) | Subclass | Drug (generic) | Brand name(s) | Mechanism summary | Typical monitoring |
|---|---|---|---|---|---|
| Anticoagulants | Vitamin K antagonist | warfarin | Coumadin | inhibits vitamin K recycling | INR |
| Anticoagulants | Direct thrombin inhibitor | dabigatran | Pradaxa | thrombin (IIa) inhibition | renal function |
| Anticoagulants | Factor Xa inhibitor | apixaban | Eliquis | Xa inhibition | renal function |
| Anticoagulants | Factor Xa inhibitor | rivaroxaban | Xarelto | Xa inhibition | renal function |
| Anticoagulants | Factor Xa inhibitor | edoxaban | Savaysa | Xa inhibition | renal function |
| Anticoagulants | Heparin | unfractionated heparin | (various) | potentiates antithrombin | aPTT |
| Anticoagulants | LMWH | enoxaparin | Lovenox | potentiates antithrombin (Xa>IIa) | anti-Xa (selected) |
| Anticoagulants | LMWH | dalteparin | Fragmin | potentiates antithrombin | anti-Xa (selected) |
| Anticoagulants | Fondaparinux | fondaparinux | Arixtra | indirect Xa inhibition | renal function |
| Anticoagulants | Parenteral DTI | bivalirudin | Angiomax | thrombin (IIa) inhibition | ACT (procedural) |
