# Nakuru County
> Urban Centres

| Town | Type | Population (2009) | Rank in Kenya (Population Size) |
| --- | --- | --- | --- |
| Nakuru | Municipality | 307,990 | 4 |
| Naivasha | Municipality | 169,142 | 9 |
| Molo | Town | 40,651 | 60 |
| Gilgil | Town | 35,293 | 69 |
| Njoro | Town | 23,551 | 82 |
| Mai Mahiu | Town | 11,230 | 112 |
| Subukia | Town | 7,309 | 139 |
| Dundori | Town | 5,221 | 166 |
| Salgaa | Town | 4,740 | 174 |
| Mau Narok | Town | 4,357 | 178 |
| Bahati | Town | 3,833 | 184 |
| Rongai | Town | 2,215 | 213 |
| Olenguruone | Town | 2,119 | 214 |
