# List of LGBT characters in film
> L

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Gloria LaFonche | The Viva Voce Virus | Bisexual | Film |
| Lamar | Revenge of the Nerds | Gay | Film |
| Sinead Laren | But I'm a Cheerleader | Lesbian | Film |
| Mink Larouie | Miller's Crossing | Gay | Film |
| Tommy Larson | Home for the Holidays | Gay | Film |
| James Leer | Wonder Boys | Gay | Film |
| Deanna Legros | Welcome Back, Kotter | Lesbian | Film |
| Leo | Bedrooms and Hallways | Bisexual | Film |
| Leslie "Les" | Bring It On | Gay | Film |
| Anita "Needy" Lesnicki | Jennifer's Body | Bisexual | Film |
| Sally Lester | The Hours | Lesbian | Film |
| Alec Lightwood | Shadowhunters | Gay | Film |
| Loc Dog | Don't Be a Menace... | Bisexual | Film |
| Logan | " The Last Exorcism " | Gay | Film |
| Lola | All About My Mother (Todo sobre mi madre) | Transgender | Film |
| Loretta | Life of Brian | Transgender | Film |
| Louis de Pointe du Lac | Interview with the Vampire: The Vampire Chronicles | Bisexual | Film |
| Luce | Imagine Me & You | Lesbian | Film |
| Lucille | Sin City | Lesbian | Film |
| Lucy | All Over Me | Lesbian | Film |
| Luke | All Over Me | Lesbian | Film |
| Lynn | Sunshine Cleaning | Lesbian | Film |
