# State Motor Fuel Excise Taxes (Gasoline Only, Excluding Federal 18.4¢ gal)

| State | Gasoline excise tax (¢/gal, excludes federal 18.4¢) | Effective date | Notes |
|---|---:|---|---|
| Alabama | 28.0 | 2024-01-01 | State portion only; local taxes not included |
| Colorado | 22.0 | 2024-01-01 | Per-gallon state excise only |
| Florida | 26.4 | 2024-01-01 | State tax only; does not include federal tax |
| Georgia | 31.2 | 2024-01-01 | Excludes federal excise tax |
| Kentucky | 26.0 | 2024-01-01 | State gasoline rate only |
| Louisiana | 20.0 | 2024-01-01 | Excludes federal tax; excludes parish add-ons |
| Maine | 30.0 | 2024-01-01 | State excise only |
| Maryland | 36.1 | 2024-01-01 | State portion only (no federal) |
| New Mexico | 17.0 | 2024-01-01 | State excise only |
| North Carolina | 40.5 | 2024-01-01 | State excise only; federal excluded |
| Ohio | 38.5 | 2024-01-01 | State gasoline tax only |
| Virginia | 31.0 | 2024-01-01 | State-only per-gallon component; federal excluded |
