# Refrigerator and Freezer Storage Times for Common Cooked Leftovers (Ready-to-Eat Dishes)

| Cooked leftover item (prepared dish) | Refrigerator (40°F / 4°C or below) | Freezer (0°F / -18°C or below) |
| --- | --- | --- |
| Cooked pasta with marinara sauce | 3–5 days | 2–3 months |
| Cooked pasta with cream sauce (Alfredo, carbonara) | 3–4 days | 1–2 months |
| Cooked lasagna (meat or vegetable) | 3–4 days | 2–3 months |
| Cooked pizza slices | 3–4 days | 1–2 months |
| Cooked chili (with beans and/or meat) | 3–4 days | 4–6 months |
| Cooked beef stew | 3–4 days | 2–3 months |
| Cooked chicken noodle soup | 3–4 days | 2–3 months |
| Cooked curry (chicken/vegetable) | 3–4 days | 2–3 months |
| Cooked casserole (baked pasta/veg bake) | 3–4 days | 2–3 months |
| Cooked stir-fry (meat + vegetables) | 3–4 days | 2–3 months |
| Cooked burrito (assembled, fully cooked filling) | 3–4 days | 2–3 months |
