# Korean postal prefix ranges (NN) by administrative level (metropolitan cities vs provinces)

| Administrative level | City or Province | NN range | Notes |
|---|---|---|---|
| Special City | Seoul | 01~09 | City-level summary |
| Province | Gyeonggi Province | 10~20 | Province-level summary |
| Metropolitan City | Incheon | 21~23 | City-level summary |
| Province | Gangwon Province | 24~26 | Province-level summary |
| Province | North Chungcheong Province | 27~30 | Province-level summary |
| Province | South Chungcheong Province | 31~33 | Province-level summary |
| Metropolitan City | Daejeon | 34~35 | City-level summary |
| Special Self-Governing City | Sejong | 36~40 | City-level summary |
| Metropolitan City | Daegu | 41~43 | City-level summary |
| Metropolitan City | Ulsan | 44~45 | City-level summary |
| Metropolitan City | Busan | 46~49 | City-level summary |
| Province | South Gyeongsang Province | 50~53 | Province-level summary |
| Province | North Jeolla Province | 54~56 | Province-level summary |
| Province | South Jeolla Province | 57~59 | Province-level summary |
| Metropolitan City | Gwangju | 60~62 | City-level summary |
| Province | North Gyeongsang Province | 63~66 | Province-level summary |
| Special Self-Governing Province | Jeju | 67~69 | Province-level summary |
