# Pub Tap List  Beer Alcohol Content (ABV) with Style, Serving Format, and Bitterness

| Tap # | Beer | Producer | Style | ABV (%) | IBU | Package/Pour | Special Notes |
|---:|---|---|---|---:|---:|---|---|
| 1 | Lattice Pale | Red Kite Brewing | American Pale Ale | 5.5 | 45 | Draft (16 oz) | Balanced malt/hops |
| 2 | Night Signal | Red Kite Brewing | Porter | 6.1 | 35 | Draft (16 oz) | Cocoa, toast |
| 3 | Sea Glass | Meridian Craft | Kölsch | 4.7 | 20 | Draft (16 oz) | Light and crisp |
| 4 | Pineward | Meridian Craft | Double IPA | 8.6 | 80 | Draft (10 oz) | High bitterness, resinous |
| 5 | Hearthside | Old Mill Ales | Brown Ale | 5.8 | 26 | Draft (16 oz) | Nutty malt character |
| 6 | Velvet Current | Old Mill Ales | Oatmeal Stout | 5.2 | 32 | Draft (16 oz) | Silky body |
| 7 | City Lantern | Brickline Brewing | Belgian Tripel | 9.4 | 28 | Draft (10 oz) | Spicy yeast, strong |
| 8 | Dry Dock Saison | Brickline Brewing | Farmhouse Saison | 6.9 | 30 | Draft (13 oz) | Dry, peppery |
| 9 | Alpine Pils | High Ridge Brewery | Czech Pale Lager | 5.1 | 34 | Draft (16 oz) | Snappy bitterness |
| 10 | Orchard Ember | High Ridge Brewery | Fruited Sour (Gose) | 4.3 | 10 | Draft (13 oz) | Tart, lightly salty |
