# LSAT Median (50th Percentile) for Admitted Enrolled Students — Comparative Table (Entering Class 2017)

| Region | Law School | LSAT Median (50th) | Program Type | Notes |
| --- | --- | --- | --- | --- |
| Northeast | Georgetown University | 168 | Full-time JD | Median for entering cohort |
| Northeast | Cornell University | 167 | Full-time JD | Median for entering cohort |
| Northeast | Boston University | 164 | Full-time JD | Median for entering cohort |
| South | Duke University | 169 | Full-time JD | Median for entering cohort |
| South | Vanderbilt University | 167 | Full-time JD | Median for entering cohort |
| Midwest | Northwestern University | 168 | Full-time JD | Median for entering cohort |
| Midwest | Washington University in St. Louis | 164 | Full-time JD | Median for entering cohort |
| West | University of California—Berkeley | 166 | Full-time JD | Median for entering cohort |
| West | University of California—Los Angeles (UCLA) | 165 | Full-time JD | Median for entering cohort |
