# Kent County Council (UK) School Term Dates and Holiday Periods 2017–2018 (Local Authority Calendar)

| Period (Kent) | Start date | End date | Notes |
| --- | --- | --- | --- |
| Autumn term (Part 1) | 04 Sep 2017 | 20 Oct 2017 | Schools open |
| Autumn half-term holiday | 21 Oct 2017 | 29 Oct 2017 | Schools closed |
| Autumn term (Part 2) | 30 Oct 2017 | 21 Dec 2017 | Schools open |
| Christmas holiday | 22 Dec 2017 | 07 Jan 2018 | Schools closed |
| Spring term (Part 1) | 08 Jan 2018 | 09 Feb 2018 | Schools open |
| Spring half-term holiday | 10 Feb 2018 | 18 Feb 2018 | Schools closed |
| Spring term (Part 2) | 19 Feb 2018 | 29 Mar 2018 | Schools open |
| Easter holiday | 30 Mar 2018 | 15 Apr 2018 | Schools closed |
| Summer term (Part 1) | 16 Apr 2018 | 25 May 2018 | Schools open |
| May half-term holiday | 26 May 2018 | 03 Jun 2018 | Schools closed |
| Summer term (Part 2) | 04 Jun 2018 | 24 Jul 2018 | Schools open |
| Summer holiday | 25 Jul 2018 | 02 Sep 2018 | Schools closed |
