# Major Chemical Compounds in the Earth's Crust (Common Minerals and Their Approximate Mass Share)

| Compound/Mineral | Chemical formula | Approx. mass share in crust (%) | Category | Comment |
|---|---|---:|---|---|
| Plagioclase feldspar | (Na,Ca)(Al,Si)4O8 | 39 | Silicate mineral | Most abundant mineral group |
| Quartz | SiO2 | 12 | Silica | High in continental crust |
| K-feldspar | KAlSi3O8 | 12 | Silicate mineral | Enriched in granitic crust |
| Pyroxenes | (Mg,Fe,Ca)SiO3 | 11 | Silicate mineral | Common in mafic rocks |
| Amphiboles | Ca2(Mg,Fe,Al)5Si8O22(OH)2 | 5 | Silicate mineral | Hydrous silicate |
| Micas (biotite/muscovite) | K(Al,Mg,Fe)2–3(AlSi3O10)(OH)2 | 5 | Silicate mineral | Sheet silicates |
| Clay minerals | (various) | 5 | Phyllosilicate | Weathering products |
| Carbonates (calcite/dolomite) | CaCO3 / CaMg(CO3)2 | 2 | Carbonate | Sedimentary component |
| Iron oxides | Fe2O3 / Fe3O4 | 1 | Oxide | Accessory/alteration |
| Apatite | Ca5(PO4)3(F,Cl,OH) | 0.6 | Phosphate | Hosts P in crust |
