# SGX-Listed Companies (Lookup Table) — Selected Mainboard Issuers

| Company name | Board | Trading venue | Incorporated in | ISIN | Listing date (SGX) | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Keppel Corporation Limited | Mainboard | Singapore Exchange (SGX) | Singapore | SG1U68934629 | 24 Jun 1983 | Industrial & infrastructure group |
| Singapore Airlines Limited | Mainboard | Singapore Exchange (SGX) | Singapore | SG1V61937297 | 28 May 1985 | Flag carrier airline |
| Singapore Telecommunications Limited | Mainboard | Singapore Exchange (SGX) | Singapore | SG1T75931496 | 19 Nov 1993 | Telecommunications |
| DBS Group Holdings Ltd | Mainboard | Singapore Exchange (SGX) | Singapore | SG1L01001701 | 29 Jul 1999 | Banking & financial services |
| Oversea-Chinese Banking Corporation Limited (OCBC) | Mainboard | Singapore Exchange (SGX) | Singapore | SG1S04926220 | 01 Jan 1970 | Banking |
| United Overseas Bank Limited (UOB) | Mainboard | Singapore Exchange (SGX) | Singapore | SG1M31001969 | 01 Jan 1970 | Banking |
| CapitaLand Investment Limited | Mainboard | Singapore Exchange (SGX) | Singapore | SGXE62145532 | 20 Sep 2002 | Real asset management |
| SATS Ltd. | Mainboard | Singapore Exchange (SGX) | Singapore | SG1I52882764 | 13 May 2000 | Aviation services |
| Sembcorp Industries Ltd | Mainboard | Singapore Exchange (SGX) | Singapore | SG1R50925390 | 09 May 1998 | Energy & urban solutions |
| Singapore Press Holdings Limited | Mainboard | Singapore Exchange (SGX) | Singapore | SG1U89934891 | 15 Aug 1986 | Media & properties (legacy listing) |
