# Netflix Ultra HD (4K) Titles  Movies, Series & Documentaries (Browse List)

| Title | Title Type | Genre/Notes | Availability (4K) |
| --- | --- | --- | --- |
| The Irishman | Movie | Crime drama | Ultra HD 4K |
| Roma | Movie | Drama | Ultra HD 4K |
| Okja | Movie | Sci‑fi / adventure | Ultra HD 4K |
| Bird Box | Movie | Thriller | Ultra HD 4K |
| 6 Underground | Movie | Action | Ultra HD 4K |
| Stranger Things | TV Series | Sci‑fi / horror | Ultra HD 4K |
| The Crown | TV Series | Historical drama | Ultra HD 4K |
| Our Planet | Documentary Series | Nature | Ultra HD 4K |
| Chef's Table | Documentary Series | Food | Ultra HD 4K |
| Formula 1: Drive to Survive | Documentary Series | Sports | Ultra HD 4K |
