# London Station Passenger Traffic by Station Type (Annual totals, comparison table)

| Category | Rank within category | Station | Annual passengers |
| --- | --- | --- | ---: |
| National Rail termini | 1 | Waterloo | 99,120,000 |
| National Rail termini | 2 | Victoria | 82,010,000 |
| National Rail termini | 3 | Liverpool Street | 64,230,000 |
| National Rail termini | 4 | London Bridge | 57,310,000 |
| Interchange (NR + Underground) | 1 | Stratford | 41,900,000 |
| Interchange (NR + Underground) | 2 | Clapham Junction | 32,880,000 |
| Interchange (NR + Underground) | 3 | Canary Wharf (Elizabeth line) | 29,500,000 |
| Central London commuter | 1 | Charing Cross | 38,600,000 |
| Central London commuter | 2 | Cannon Street | 22,400,000 |
