# Zombie-Themed Games on Nintendo and Multi-Platform Systems (Platforms Spelled Out)

| Game | Release Year | Platform(s) (full names) |
| --- | --- | --- |
| Resident Evil (Remake) | 2002 | Nintendo GameCube |
| Resident Evil 4 | 2005 | Nintendo GameCube; PlayStation 2 |
| House of the Dead: Overkill | 2009 | Wii |
| Resident Evil: The Darkside Chronicles | 2009 | Wii |
| Resident Evil Revelations | 2012 | Nintendo 3DS |
| Resident Evil Revelations | 2013 | PlayStation 3; Xbox 360; Wii U; Windows |
| Zombie Panic in Wonderland | 2009 | Wii |
| Dead Rising: Chop Till You Drop | 2009 | Wii |
| Stubbs the Zombie in Rebel Without a Pulse | 2005 | Xbox |
| Zombie Vikings | 2015 | PlayStation 4; PlayStation Vita; Windows |
