# Topical and Transdermal Product Form Abbreviations on Pharmacy Labels

| Abbreviation | Expansion (Dosage Form / Label Term) | Where You See It |
|---|---|---|
| crm | Cream | Dispensing label |
| ung | Ointment | Dispensing label |
| gel | Gel | Dispensing label |
| lot | Lotion | Dispensing label |
| soln | Solution (topical) | Dispensing label |
| susp | Suspension (topical) | Dispensing label |
| spr | Spray | Product label |
| patch | Transdermal patch | Product label |
| TD | Transdermal | Product name/label |
| PF | Preservative-free | Packaging/label claim |
| RF | Refrigerate | Storage label shorthand |
| RSD | Resealable dispenser | Packaging feature |
