# GCSE Subject Options Overview (Common UK Secondary School Offer)

| Subject | Category/Department | Typical GCSE status | Notes (brief) |
| --- | --- | --- | --- |
| English Language | English | Core | Usually compulsory; focuses on reading, writing, spoken language |
| English Literature | English | Core (often) | Often taken alongside English Language |
| Mathematics | Mathematics | Core | Usually compulsory |
| Combined Science | Science | Core (common) | Leads to 2 GCSEs; covers Biology/Chemistry/Physics |
| Biology | Science | Option (Triple Science) | Separate Science GCSE; often chosen as part of Triple Science |
| Chemistry | Science | Option (Triple Science) | Separate Science GCSE; often chosen as part of Triple Science |
| Physics | Science | Option (Triple Science) | Separate Science GCSE; often chosen as part of Triple Science |
| History | Humanities | Option | Essay-based; source analysis |
| Geography | Humanities | Option | Fieldwork component is common |
| French | Modern Foreign Languages | Option (sometimes required) | Speaking, listening, reading, writing |
| Spanish | Modern Foreign Languages | Option | Speaking, listening, reading, writing |
| Computer Science | Computing | Option | Programming + computational thinking |
| Art and Design | Arts | Option | Portfolio-based assessment |
| Music | Performing Arts | Option | Performance + composition |
| Drama | Performing Arts | Option | Performance + written evaluation |
| Design and Technology | Design/Technology | Option | Designing + making; materials and processes |
| Physical Education | PE | Option | Practical sport + theory |
| Religious Studies | Humanities | Option (sometimes required) | Ethics/philosophy; varies by school |
| Business Studies | Business | Option | Intro to finance, marketing, operations |
| Media Studies | Arts/Media | Option | Analysis of media products + coursework/exam |
| Food Preparation and Nutrition | Design/Technology | Option | Practical cooking + nutrition/science content |
