# Adobe Creative Cloud and Related Desktop Apps (Selected Product Lineup)

| Product name | Primary category | Typical distribution / availability | Notes |
| --- | --- | --- | --- |
| Photoshop | Image editing | Creative Cloud (individual app) | Often bundled in Creative Cloud All Apps |
| Illustrator | Vector design | Creative Cloud (individual app) | Also in Creative Cloud All Apps |
| InDesign | Page layout & publishing | Creative Cloud (individual app) | Common in publishing workflows |
| Premiere Pro | Video editing | Creative Cloud (individual app) | Part of Creative Cloud All Apps |
| After Effects | Motion graphics & compositing | Creative Cloud (individual app) | Often paired with Premiere Pro |
| Audition | Audio editing | Creative Cloud (individual app) | Used for podcast and audio post |
| Lightroom | Photo workflow | Creative Cloud (Photography plan / individual app) | Often sold with Photoshop in photo plans |
| XD | UI/UX design | Creative Cloud (individual app) | Availability varies by plan/region |
| Animate | 2D animation & interactive | Creative Cloud (individual app) | Formerly Flash Professional |
| Dreamweaver | Web development | Creative Cloud (individual app) | Web authoring tool |
| Acrobat Pro | PDF creation & editing | Standalone subscription (Acrobat) / sometimes bundled for teams | Not part of standard CC All Apps in many plans |
| Bridge | Asset management | Creative Cloud (included utility) | Typically included with CC subscriptions |
