# Luxottica
> Financial performance

| Year | Net sales (k€) | Operating income (k€) | Net income (k€) - Net Income attributable to Luxottica Group Stockholders |
| --- | --- | --- | --- |
| 2015 [1] | 8,836,578 | 1,376,445 | 804,119 |
| 2014 [28] | 7,652,317 | 1,157,613 | 642,596 |
| 2013 | 7,313,000 | 1,056,000 | 545,000 |
| 2012 | 7,086,142 | 982,049 | 541,700 |
| 2011 | 6,222,483 | 807,140 | 452,343 |
| 2010 | 5,798,035 | 712,158 | 402,187 |
| 2009 | 5,094,318 | 571,085 | 299,122 |
| 2008 | 5,201,611 | 731,639 | 390,167 |
| 2007 | 4,966,054 | 833,264 | 489,850 |
