# 1969 NBA draft
> Draft

| Round | Pick | Player | Pos. | Nationality | Team | School/club team |
| --- | --- | --- | --- | --- | --- | --- |
| 1 | 1 | Alcindor, Lew Lew Alcindor ^ (Kareem Abdul-Jabbar) 1[›] | C | United States | Milwaukee Bucks | UCLA |
| 1 | 2 | Walk, Neal Neal Walk | C | United States | Phoenix Suns | Florida |
| 1 | 3 | Allen, Lucius Lucius Allen | G | United States | Seattle SuperSonics | UCLA |
| 1 | 4 | Driscoll, Terry Terry Driscoll | F | United States | Detroit Pistons | Boston College |
| 1 | 5 | Cannon, Larry Larry Cannon | G | United States | Chicago Bulls | La Salle |
| 1 | 6 | Smith, Bingo Bingo Smith | G/F | United States | San Diego Rockets | Tulsa |
| 1 | 7 | Portman, Bob Bob Portman | F | United States | San Francisco Warriors | Creighton |
| 1 | 8 | Gilliam, Herm Herm Gilliam | G/F | United States | Cincinnati Royals | Purdue |
| 1 | 9 | White, Jo Jo Jo Jo White ^ | G | United States | Boston Celtics | Kansas |
| 1 | 10 | Beard, Butch Butch Beard + | G | United States | Atlanta Hawks | Louisville |
| 1 | 11 | Warren, John John Warren | C | United States | New York Knicks | St. John's |
| 1 | 12 | McCarter, Willie Willie McCarter | G | United States | Los Angeles Lakers | Drake |
| 1 | 13 | Ogden, Bud Bud Ogden | F | United States | Philadelphia 76ers | Santa Clara |
| 1 | 14 | Davis, Mike Mike Davis | G | United States | Baltimore Bullets | Virginia Union |
| 1 | 15 | Roberson, Rick Rick Roberson | F/C | United States | Los Angeles Lakers 2[›] | Cincinnati |
| 2 | 16 | Hill, Simmie Simmie Hill # | F | United States | Chicago Bulls (from Phoenix ) | West Texas State |
| 2 | 17 | Greacen, Bob Bob Greacen | F | United States | Milwaukee Bucks | Rutgers |
| 2 | 18 | Taylor, Ron Ron Taylor # | C | United States | Seattle SuperSonics | USC |
| 2 | 19 | Norwood, Willie Willie Norwood | F | United States | Detroit Pistons | Alcorn A&M |
| 2 | 20 | Spain, Ken Ken Spain # | C | United States | Chicago Bulls | Houston |
| 2 | 21 | Williams, Bernie Bernie Williams | G | United States | San Diego Rockets | La Salle |
| 2 | 22 | Siudut, Ed Ed Siudut # | F | United States | San Francisco Warriors | Holy Cross |
| 2 | 23 | Baum, Johnny Johnny Baum | F | United States | Chicago Bulls (from Cincinnati ) [a] | Temple |
| 2 | 24 | Williams, Gene Gene Williams # | F | United States | Phoenix Suns (from Boston ) [b] | Kansas State |
| 2 | 25 | Anderzunas, Wally Wally Anderzunas | F/C | United States | Atlanta Hawks | Creighton |
| 2 | 26 | Bunting, Bill Bill Bunting # | F/C | United States | New York Knicks | North Carolina |
| 2 | 27 | Garrett, Dick Dick Garrett | G | United States | Los Angeles Lakers | Southern Illinois |
| 2 | 28 | Taylor, Willie Willie Taylor # | F/C | United States | Philadelphia 76ers | LeMoyne–Owen |
| 2 | 29 | Scott, Willie Willie Scott # | F | United States | Baltimore Bullets | Alabama State |
| 3 | 30 | Kerr, Floyd Floyd Kerr # | n/a | United States | Phoenix Suns | Colorado State |
| 3 | 31 | Swift, Skeeter Skeeter Swift # | G | United States | Milwaukee Bucks | East Tennessee State |
| 3 | 32 | Winfield, Lee Lee Winfield | G | United States | Seattle SuperSonics | North Texas State |
| 3 | 33 | Green, Lamar Lamar Green | F/C | United States | Phoenix Suns (from Detroit ) [c] | Morehead State |
| 3 | 34 | Van Lier, Norm Norm Van Lier * | G | United States | Chicago Bulls | Saint Francis (PA) |
| 3 | 35 | Bonaparte, Charles Charles Bonaparte # | G | United States | San Diego Rockets | Norfolk State |
| 3 | 36 | Hagan, Tom Tom Hagan # | G | United States | San Francisco Warriors | Vanderbilt |
| 3 | 37 | Rackley, Luther Luther Rackley | C | United States | Cincinnati Royals | Xavier (OH) |
| 3 | 38 | Keye, Julius Julius Keye # | F-C | United States | Boston Celtics | Alcorn State |
| 3 | 39 | Kerr, Lloyd Lloyd Kerr # | n/a | United States | Phoenix Suns | Colorado State |
| 3 | 40 | Mast, Eddie Eddie Mast | F/C | United States | New York Knicks | Temple |
| 3 | 41 | Green, Luther Luther Green | F | United States | Cincinnati Royals (from Los Angeles ) | Long Island |
| 3 | 42 | Template:SortnameMike # | C | United States | Philadelphia 76ers | Louisville |
| 3 | 43 | Carter, Fred Fred Carter | G/F | United States | Baltimore Bullets | Mount St. Mary's |
| 4 | 44 | Stewart, Dennis Dennis Stewart | F | United States | Phoenix Suns | Michigan |
| 4 | 45 | Dandridge, Bob Bob Dandridge * | G/F | United States | Milwaukee Bucks | Norfolk State |
| 4 | 52 | Kuberski, Steve Steve Kuberski | F/C | United States | Boston Celtics | Bradley |
| 4 | 56 | Scholz, Dave Dave Scholz | F | United States | Philadelphia 76ers | Illinois |
| 5 | 58 | Jones, Rich Rich Jones | F/C | United States | Phoenix Suns | Memphis State |
| 5 | 61 | Mix, Steve Steve Mix + | F | United States | Detroit Pistons | Toledo |
| 5 | 64 | Wise, Willie Willie Wise | F | United States | San Francisco Warriors | Drake |
| 5 | 65 | Ford, Jake Jake Ford | G | United States | Cincinnati Royals | Maryland State |
| 5 | 66 | Thompson, George George Thompson | G | United States | Boston Celtics | Marquette |
| 5 | 69 | Jones, Wil Wil Jones | F | United States | Los Angeles Lakers | Albany State |
| 6 | 73 | Arthurs, John John Arthurs | G | United States | Milwaukee Bucks | Tulane |
