# Largest Banks Worldwide by Total Assets (Grouped by Continent, Not a Single Global Rank List)

| Continent | Bank | Home Country | Total Assets (USD bn) | Notes |
| --- | --- | --- | ---: | --- |
| Asia | Industrial and Commercial Bank of China (ICBC) | China | 6100 | State-owned |
| Asia | China Construction Bank (CCB) | China | 5200 | State-owned |
| Asia | Agricultural Bank of China (ABC) | China | 4900 | State-owned |
| North America | JPMorgan Chase & Co. | United States | 4100 | Universal bank |
| North America | Bank of America | United States | 3200 | Retail focus |
| Europe | HSBC Holdings plc | United Kingdom | 3000 | International network |
| Europe | BNP Paribas | France | 2900 | Eurozone leader |
| Europe | Crédit Agricole Group | France | 2700 | Cooperative roots |
| Asia | Mitsubishi UFJ Financial Group (MUFG) | Japan | 3100 | Megabank |
| Europe | Santander | Spain | 1700 | Retail & LatAm exposure |
