# The Mark Levin Show — Weekly Carriage Schedule (No Clock Times)

| Station | City/State | Days Carried | Slot (relative) | Notes |
| --- | --- | --- | --- | --- |
| KZRG | Joplin, MO | Mon–Fri | Afternoon drive | Live clearance |
| KIOL | Tomball, TX | Mon–Fri | Late afternoon | Starts shortly after top of hour |
| WABC | New York, NY | Mon–Fri | Evenings | Delayed on holidays |
| KDKA | Pittsburgh, PA | Mon–Fri | Evenings | Network feed |
| KFI | Los Angeles, CA | Mon–Fri | Evenings | Subject to sports preemption |
| WBAP | Dallas–Fort Worth, TX | Mon–Fri | Evenings | Full show |
| KGO | San Francisco, CA | Mon–Fri | Nights | Partial carriage |
| WHIO | Dayton, OH | Mon–Fri | Evenings | Local news breaks |
| WOKV | Jacksonville, FL | Mon–Fri | Nights | Time may vary |
| KFAB | Omaha, NE | Mon–Fri | Evenings | Live |
| KSNV Radio | Las Vegas, NV | Mon–Fri | Evenings | Syndicated |
