# PayScale Skill Pay by Role (Python)

| Role (Job Title) | Typical Annual Pay (USD) | Skill Focus | Example Deliverables |
| --- | ---: | --- | --- |
| Data Analyst | 67300 | Python | Automation scripts & analysis notebooks |
| Data Scientist | 124900 | Python | Predictive models & experimentation |
| Machine Learning Engineer | 144800 | Python | Model serving pipelines & training systems |
| DevOps Engineer | 118600 | Python | CI/CD tooling & infrastructure automation |
| QA Automation Engineer | 96300 | Python | Automated test suites & frameworks |
| Cybersecurity Analyst | 104700 | Python | Detection scripts & log analysis |
| Quantitative Analyst | 137500 | Python | Research backtests & signal generation |
| Research Scientist | 132200 | Python | Prototypes & data processing pipelines |
| Full Stack Developer | 112900 | Python | APIs, web apps, integrations |
