# Common Antibiotics Considered in Prostatitis  Mechanism and Pharmacokinetics Overview

| Antibiotic (generic) | Drug class | Primary mechanism | Oral bioavailability | Prostatic tissue penetration (qualitative) | Elimination | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Ciprofloxacin | Fluoroquinolone | DNA gyrase/topoisomerase inhibition | High | Good | Renal/hepatic | Concentration-dependent killing |
| Levofloxacin | Fluoroquinolone | DNA gyrase/topoisomerase inhibition | High | Good | Renal | Long half-life supports once-daily regimens |
| Trimethoprim-sulfamethoxazole | Sulfonamide + DHFR inhibitor | Folate synthesis inhibition | Moderate | Variable | Renal | Resistance varies by region |
| Doxycycline | Tetracycline | 30S ribosome inhibition | High | Moderate | Biliary/fecal | Chelates with cations |
| Azithromycin | Macrolide | 50S ribosome inhibition | Moderate | Variable | Biliary | Long tissue half-life |
| Fosfomycin | Phosphonic acid derivative | Cell wall synthesis inhibition | Moderate | Uncertain/variable | Renal | Broad activity vs some MDR strains |
| Ceftriaxone | Cephalosporin (3rd gen) | Cell wall synthesis inhibition | N/A (IV/IM) | Limited | Biliary/renal | Often used for severe infections |
| Gentamicin | Aminoglycoside | 30S ribosome inhibition | N/A (IV/IM) | Poor | Renal | Nephrotoxic/ototoxic risk |
| Nitrofurantoin | Nitrofurans | Multiple bacterial targets | High | Poor (urine only) | Renal | Not effective for deep tissue infections |
