# Eight Limbs and Key Sanskrit Concepts (Not Pose Name Mapping)

| Sanskrit Term | Common English Rendering | Domain | Example Mention |
| --- | --- | --- | --- |
| Yama | ethical restraints | Philosophy | ahimsa, satya |
| Niyama | observances | Philosophy | saucha, tapas |
| Asana | seat/posture | Practice | steady sitting |
| Pranayama | breath regulation | Practice | kumbhaka |
| Pratyahara | sensory withdrawal | Meditation | inward focus |
| Dharana | concentration | Meditation | single-point attention |
| Dhyana | meditation | Meditation | sustained awareness |
| Samadhi | absorption | Liberation | non-dual stillness |
| Vairagya | non-attachment | Philosophy | letting go |
| Viveka | discernment | Philosophy | discriminating wisdom |
