# Salinas , California
> Demographics

| Year | Violent Crime Rate - Salinas | Homicide Rate - Salinas | Violent Crime Rate - California | Homicide Rate - California |
| --- | --- | --- | --- | --- |
| 2000 | 835.4 | 11.9 | 621.6 | 6.1 |
| 2001 | 824.7 | 9.7 | 615.2 | 6.4 |
| 2002 | 726.7 | 12.8 | 595.4 | 6.8 |
| 2003 | 798.4 | 12.6 | 579.6 | 6.8 |
| 2004 | 813.1 | 11.4 | 527.8 | 6.7 |
| 2005 | 690.5 | 4.7 | 526.0 | 6.9 |
| 2006 | 756.7 | 4.7 | 535.5 | 6.8 |
| 2007 | 794.5 | 9.6 | 524.1 | 6.2 |
| 2008 | 731.6 | 17.4 | 504.2 | 5.8 |
| 2009 | 788.7 | 20.2 | 473.3 | 5.2 |
| 2010 | 772.4 | 12.6 | 439.6 | 4.8 |
| 2011 | 732.5 | 9.9 | 411.2 | 4.8 |
| 2012 | 665.1 | 13.6 | 423.1 | 5.0 |
