# Minor League Baseball Teams by U.S. State (Selected Clubs)

| State | Team | City | Home Ballpark | League Level | MLB Affiliate |
|---|---|---|---|---|---|
| Alabama | Birmingham Barons | Birmingham | Regions Field | Double-A | Chicago White Sox |
| Alabama | Rocket City Trash Pandas | Madison | Toyota Field | Double-A | Los Angeles Angels |
| Arizona | Reno Aces | Reno | Greater Nevada Field | Triple-A | Arizona Diamondbacks |
| Arkansas | Arkansas Travelers | North Little Rock | Dickey-Stephens Park | Double-A | Seattle Mariners |
| California | Sacramento River Cats | West Sacramento | Sutter Health Park | Triple-A | San Francisco Giants |
| California | Stockton Ports | Stockton | Banner Island Ballpark | Single-A | Oakland Athletics |
| Florida | Pensacola Blue Wahoos | Pensacola | Blue Wahoos Stadium | Double-A | Miami Marlins |
| Florida | Tampa Tarpons | Tampa | George M. Steinbrenner Field | Single-A | New York Yankees |
| Massachusetts | Worcester Red Sox | Worcester | Polar Park | Triple-A | Boston Red Sox |
| North Carolina | Durham Bulls | Durham | Durham Bulls Athletic Park | Triple-A | Tampa Bay Rays |
