# Wine
> Professions

| Name | Description |
| --- | --- |
| Cellar master | A person in charge of a wine cellar |
| Cooper | A craftsperson of wooden barrels and casks. A cooperage is a facility that produces such casks |
| Négociant | A wine merchant who purchases the product of smaller growers or winemakers to sell them under its own name |
| Oenologist | A wine scientist or wine chemist ; a student of oenology . In the 2000s, B.Sc. degrees in oenology and viticulture are available. A winemaker may be trained as an oenologist, but often hires one as a consultant |
| Sommelier | Also called a "wine steward", this is a specialist wine expert in charge of developing a restaurant's wine list , educating the staff about wine, and assisting customers with their selections (especially food-wine pairings) |
| Vintner , Winemaker | A wine producer; a person who makes wine |
| Viticulturist | A specialist in the science of grapevines; a manager of vineyard pruning, irrigation , and pest control |
| Wine critic | A wine expert and journalist who tastes and reviews wines for books and magazines |
| Wine taster | A wine expert who tastes wines to ascertain their quality and flavour |
| Wine waiter | A restaurant or wine bar server with a basic- to mid-level knowledge of wine and food-wine pairings |
