# Bottled Water pH by Brand (Plus pH Scale Examples)

| Item Type | Brand/Product or Example | pH | Why it’s here |
|---|---|---:|---|
| Bottled water | Acqua Panna | 8.2 | Brand pH entry |
| Bottled water | Propel Fitness Water | 3.4 | Brand pH entry |
| Bottled water | VOSS | 7.3 | Brand pH entry |
| Bottled water | Perrier | 5.5 | Brand pH entry |
| pH scale example | Lemon juice | 2.0 | Acidity reference |
| pH scale example | Black coffee | 5.0 | Common beverage reference |
| pH scale example | Pure water | 7.0 | Neutral reference |
| pH scale example | Baking soda solution | 9.0 | Basic reference |
| pH scale example | Household bleach | 12.5 | Strong base reference |
