# The Witcher (TV Series 2019– ) — Cast (Performer to Character Mapping)

| Performer | Character / Role | Episodes | Notes |
|---|---|---:|---|
| Henry Cavill | Geralt of Rivia | 24 | Main cast |
| Anya Chalotra | Yennefer of Vengerberg | 24 | Main cast |
| Freya Allan | Princess Cirilla "Ciri" | 24 | Main cast |
| Joey Batey | Jaskier | 22 | Also known as Dandelion |
| MyAnna Buring | Tissaia de Vries | 16 | Recurring |
| Eamon Farren | Cahir | 15 | Recurring |
| Mimi Ndiweni | Fringilla Vigo | 14 | Recurring |
| Royce Pierreson | Istredd | 11 | Recurring |
| Anna Shaffer | Triss Merigold | 9 | Recurring |
| Mahesh Jadu | Vilgefortz of Roggeveen | 8 | Recurring |
