# British Monarchs Referenced in Major Historical Events (Date-Event Index)

| Date | Event | Monarch Referenced | Location | Category |
|---|---|---|---|---|
| 6 Feb 1952 | Death of George VI; accession proclaimed | Elizabeth II | London | Accession / Event |
| 2 Jun 1953 | Coronation ceremony | Elizabeth II | Westminster Abbey | Ceremony |
| 1 Jan 1973 | United Kingdom joins the European Communities | Elizabeth II | UK | Political event |
| 28 Jul 1914 | Britain enters WWI (declaration sequence begins) | George V | UK/Europe | War |
| 11 Nov 1918 | Armistice signed | George V | Europe | War |
| 22 Jan 1901 | Death of Queen Victoria | Edward VII | Isle of Wight | Succession event |
| 12 Dec 1936 | Abdication instrument takes effect | Edward VIII | UK | Constitutional event |
| 8 May 1945 | VE Day celebrations | George VI | UK | War |
| 25 Dec 1066 | Coronation of William I | William I | Westminster | Ceremony |
