# MRI Spine CPT Codes by Region and Contrast (Reference List)

| Spine Region | Exam Name | Contrast Type | CPT Code |
| --- | --- | --- | --- |
| Cervical | MRI Cervical Spine | Without contrast | 72141 |
| Cervical | MRI Cervical Spine | With contrast | 72142 |
| Cervical | MRI Cervical Spine | With and without contrast | 72156 |
| Thoracic | MRI Thoracic Spine | Without contrast | 72146 |
| Thoracic | MRI Thoracic Spine | With contrast | 72147 |
| Thoracic | MRI Thoracic Spine | With and without contrast | 72157 |
| Lumbar | MRI Lumbar Spine | Without contrast | 72148 |
| Lumbar | MRI Lumbar Spine | With contrast | 72149 |
| Lumbar | MRI Lumbar Spine | With and without contrast | 72158 |
