# External Debt by Country (Selected Economies, USD)

| Rank | Country/Territory | External debt (USD) | Reference date | External debt per capita (USD) |
|---:|---|---:|---|---:|
| 1 | United States | 20,450,000,000,000 | 2019 | 62,100 |
| 2 | United Kingdom | 10,120,000,000,000 | 2019 | 151,000 |
| 3 | France | 6,180,000,000,000 | 2019 | 92,500 |
| 4 | Germany | 5,980,000,000,000 | 2019 | 72,000 |
| 5 | Netherlands | 4,720,000,000,000 | 2019 | 274,000 |
| 6 | Japan | 4,120,000,000,000 | 2019 | 32,600 |
| 7 | Italy | 3,050,000,000,000 | 2019 | 50,400 |
| 8 | Canada | 2,980,000,000,000 | 2019 | 79,000 |
| 9 | Spain | 2,540,000,000,000 | 2019 | 54,000 |
| 10 | Australia | 1,980,000,000,000 | 2019 | 78,500 |
